"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"BXMT","Capital Trust, Inc.","23.9","$3.49B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/bxmt",
"CPRI","Capri Holdings Limited","19.97","$3B","2011","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/cpri",
"CPSR","Capstar Special Purpose Acquisition Corp.","9.81","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/cpsr",
"CPSR.U","Capstar Special Purpose Acquisition Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/cpsr.u",
"CPSR.WS","Capstar Special Purpose Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cpsr.ws",
"CMO","Capstead Mortgage Corporation","5.99","$577.85M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cmo",
"CMO^E","Capstead Mortgage Corporation","23.85","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cmo^e",
"CAH","Cardinal Health, Inc.","48.54","$14.2B","n/a","Health Care","Other Pharmaceuticals","https://old.nasdaq.com/symbol/cah",
"CSL","Carlisle Companies Incorporated","121.23","$6.62B","n/a","Basic Industries","Specialty Chemicals","https://old.nasdaq.com/symbol/csl",
"KMX","CarMax Inc","102.46","$16.71B","n/a","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/kmx",
"CCL","Carnival Corporation","17.88","$15.68B","1987","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/ccl",
"CUK","Carnival Corporation","14.62","$10.39B","n/a","Consumer Services","Marine Transportation","https://old.nasdaq.com/symbol/cuk",
"CRS","Carpenter Technology Corporation","19.15","$918.18M","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/crs",
"CSV","Carriage Services, Inc.","21.29","$381.81M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/csv",
"CARR","Carrier Global Corporation","29.14","$25.24B","2020","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/carr",
"CARS","Cars.com Inc.","8.28","$556.42M","2017","Technology","EDP Services","https://old.nasdaq.com/symbol/cars",
"CRI","Carter&#39;s, Inc.","83.2","$3.63B","2003","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/cri",
"CVNA","Carvana Co.","178.63","$30.48B","2017","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/cvna",
"CSPR","Casper Sleep Inc.","8.13","$326.43M","2020","Consumer Durables","Home Furnishings","https://old.nasdaq.com/symbol/cspr",
"CSLT","Castlight Health, inc.","1.18","$177.74M","2014","Technology","EDP Services","https://old.nasdaq.com/symbol/cslt",
"CTLT","Catalent, Inc.","83.88","$13.77B","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ctlt",
"CTT","CatchMark Timber Trust, Inc.","9.34","$455.47M","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/ctt",
"CAT","Caterpillar, Inc.","149.86","$81.15B","n/a","Capital Goods","Construction/Ag Equipment/Trucks","https://old.nasdaq.com/symbol/cat",
